flight, time , var, type, p goo, p bad 
20221003_flight7.csv , 29 , dscrPBNdeviationIntegrCorr , d , 0.00850034742280165 , 0.021019505473085162
20221003_flight7.csv , 38 , dscrPBNdeviationIntegrCorr , d , 0.025116462786249544 , 0.05161181623390872
20221003_flight7.csv , 39 , dscrPBNdeviationIntegrCorr , d , 0.07178763316232056 , 0.16049540069389848
20221003_flight7.csv , 40 , dscrPBNdeviationIntegrCorr , d , 0.07034281775371864 , 0.16049540069389848
20221003_flight7.csv , 42 , dscrPBNdeviationIntegrCorr , d , 0.04241974695465976 , 0.20180531341140717
20221003_flight7.csv , 43 , dscrTimeNavlogCheck , d , 0.0685635600473424 , 0.2982676883105709
20221003_flight7.csv , 44 , dscrTimeNavlogCheck , d , 0.15623227761062755 , 0.5101811613276711
20221003_flight7.csv , 45 , dscrTimeMapCheck , d , 0.024788882338561847 , 0.051453784118553766
20221003_flight7.csv , 55 , dscrTimeMapClick , d , 0.18577318446930935 , 0.3939578289907398
20221003_flight7.csv , 56 , dscrTimeMapClick , d , 0.1798637952779047 , 0.3939578289907398
20221003_flight7.csv , 57 , dscrTimeMapClick , d , 0.18634809781653253 , 0.3939578289907398
20221003_flight7.csv , 65 , dscrTimeNavlogCheck , d , 0.07825924566792149 , 0.2982676883105709
20221003_flight7.csv , 66 , dscrTimeNavlogCheck , d , 0.14088032367934344 , 0.5101811613276711
20221003_flight7.csv , 67 , dscrTimeNavlogCheck , d , 0.16314306333064818 , 0.5101811613276711
20221003_flight7.csv , 68 , dscrTimeNavlogCheck , d , 0.17841914455639016 , 0.5101811613276711
20221003_flight7.csv , 69 , dscrTimeNavlogCheck , d , 0.1486614578120285 , 0.5101811613276711
20221003_flight7.csv , 124 , dscrTimeMapClick , d , 0.157442765348723 , 0.3939578289907398
20221003_flight7.csv , 153 , dscrTimeTrackCheck , d , 0.009690432238538013 , 0.023609325826655907
20221003_flight7.csv , 176 , dscrTimeNavlogCheck , d , 0.037657240731129464 , 0.08201387745944039
20221003_flight7.csv , 195 , dscrTimeTrackCheck , d , 0.14665112576344838 , 0.38706826540025097
20221003_flight7.csv , 204 , dscrTimeWPTCheckCurrLeg , d , 0.16545753003989183 , 0.44381143667658535
20221003_flight7.csv , 205 , dscrTimeWPTCheckCurrLeg , d , 0.17083788830556035 , 0.44381143667658535
20221003_flight7.csv , 206 , dscrTimeWPTCheckCurrLeg , d , 0.19653484451119702 , 0.44381143667658535
20221003_flight7.csv , 207 , dscrTimeWPTCheckCurrLeg , d , 0.15045677226289378 , 0.44381143667658535
20221003_flight7.csv , 208 , dscrTimeWPTCheckCurrLeg , d , 0.17360391406835513 , 0.44381143667658535
20221003_flight7.csv , 209 , dscrTimeWPTCheckCurrLeg , d , 0.1712492353649864 , 0.44381143667658535
20221003_flight7.csv , 210 , dscrTimeWPTCheckCurrLeg , d , 0.17020451386721044 , 0.44381143667658535
20221003_flight7.csv , 211 , dscrTimeWPTCheckCurrLeg , d , 0.16423290250014988 , 0.44381143667658535
20221003_flight7.csv , 212 , dscrTimeWPTCheckCurrLeg , d , 0.1646814309501349 , 0.44381143667658535
20221003_flight7.csv , 213 , dscrTimeWPTCheckCurrLeg , d , 0.17492602120841838 , 0.44381143667658535
20221003_flight7.csv , 213 , dscrTimeNavlogCheck , d , 0.040487288701895316 , 0.08201387745944039
20221003_flight7.csv , 224 , dscrTimeTrackCheck , d , 0.011056340028264834 , 0.023609325826655907
20221003_flight7.csv , 231 , dscrTimeTrackCheck , d , 0.01703604651217561 , 0.03890907578603116
20221003_flight7.csv , 258 , dscrPBNdeviationIntegrCorr , d , 0.007660309933493043 , 0.05161181623390872
20221003_flight7.csv , 272 , dscrPBNdeviationIntegrCorr , d , 0.013704015263865462 , 0.05161181623390872
20221003_flight8.csv , 44 , dscrTimeMapClick , d , 0.3273214204853604 , 0.6765769556078857
20221003_flight8.csv , 45 , dscrTimeMapClick , d , 0.31754748232436053 , 0.6765769556078857
20221003_flight8.csv , 46 , dscrTimeMapClick , d , 0.30271679116505756 , 0.6765769556078857
